intent,text
informasi_pendaftaran,Bagaimana cara mendaftar di Universitas?
informasi_pendaftaran,Apa saja informasi pendaftaran yang harus saya ketahui?
informasi_pendaftaran,Bagaimana prosedur pendaftaran untuk mahasiswa baru?
informasi_pendaftaran,Apakah pendaftaran bisa dilakukan secara online?
informasi_pendaftaran,Apakah ada jalur pendaftaran khusus untuk karyawan atau profesional?
informasi_pendaftaran,"Saya ingin mendaftar, apa langkah pertama yang harus saya lakukan?"
informasi_pendaftaran,Dimana saya bisa mendapatkan formulir pendaftaran?
informasi_pendaftaran,Apa saja dokumen yang dibutuhkan untuk mendaftar?
informasi_pendaftaran,Apakah ada batas waktu pendaftaran?
informasi_pendaftaran,Kapan jadwal pendaftaran dibuka?
informasi_pendaftaran,Bagaimana cara mengetahui apakah saya diterima?
informasi_pendaftaran,Apakah ada biaya pendaftaran?
informasi_pendaftaran,Apakah saya bisa mendaftar jika belum lulus sekolah?
informasi_pendaftaran,"Saya sudah lulus tahun lalu, apakah masih bisa mendaftar?"
informasi_pendaftaran,Bagaimana cara membuat akun untuk pendaftaran online?
informasi_pendaftaran,Apakah ada syarat khusus untuk mahasiswa internasional?
informasi_pendaftaran,Apakah ada batasan umur untuk mendaftar?
informasi_pendaftaran,Apakah ada perbedaan pendaftaran untuk jalur reguler dan jalur mandiri?
informasi_pendaftaran,Berapa lama proses seleksi setelah mendaftar?
informasi_pendaftaran,Apa yang harus saya lakukan setelah mendaftar?
informasi_pendaftaran,Bagaimana cara mengubah data setelah saya mendaftar?
informasi_pendaftaran,Apakah saya bisa membatalkan pendaftaran?
informasi_pendaftaran,Apakah saya bisa mendaftar di lebih dari satu program studi?
informasi_pendaftaran,Apakah ada kuota penerimaan mahasiswa baru?
informasi_pendaftaran,Apakah ada seleksi tambahan setelah pendaftaran?
informasi_pendaftaran,Dimana saya bisa melihat informasi terbaru tentang pendaftaran?
informasi_pendaftaran,Apakah ada hotline atau kontak untuk bertanya tentang pendaftaran?
informasi_pendaftaran,Bagaimana jika saya mengalami masalah saat mendaftar online?
informasi_pendaftaran,Apakah ada sesi konsultasi bagi calon mahasiswa sebelum mendaftar?
informasi_pendaftaran,Bagaimana sistem verifikasi berkas setelah pendaftaran?
informasi_pendaftaran,Apakah saya bisa mengganti program studi setelah mendaftar?
informasi_pendaftaran,Apakah saya harus datang langsung ke kampus untuk mendaftar?
informasi_pendaftaran,Apakah ada ujian masuk setelah pendaftaran?
informasi_pendaftaran,Apakah ada jalur beasiswa yang bisa saya daftar bersamaan?
informasi_pendaftaran,"Bagaimana jika saya tidak lulus seleksi, apakah ada opsi lain?"
informasi_pendaftaran,Apakah ada program khusus untuk mahasiswa berprestasi?
informasi_pendaftaran,Bagaimana cara mengetahui status pendaftaran saya?
informasi_pendaftaran,"Jika saya dari luar kota, bagaimana saya bisa mengurus pendaftaran?"
informasi_pendaftaran,Apakah ada demo atau panduan video tentang cara mendaftar?
informasi_pendaftaran,Apakah saya bisa mendapatkan surat keterangan bahwa saya telah mendaftar?
informasi_pendaftaran,Bagaimana jika saya salah mengisi formulir pendaftaran?
informasi_pendaftaran,Bagaimana cara mengunggah dokumen untuk pendaftaran online?
informasi_pendaftaran,Apakah ada grup atau komunitas calon mahasiswa yang bisa saya ikuti?
informasi_pendaftaran,"Jika saya pindahan dari universitas lain, bagaimana proses pendaftarannya?"
informasi_pendaftaran,Apakah saya bisa mengajukan pertanyaan langsung kepada bagian pendaftaran?
